DateTime	PRE_CLOSE	OPEN	HIGH	LOW	CLOSE	VOLUME	AMT	DEALNUM	CHG	PCT_CHG	SWING	VWAP	ADJFACTOR	CLOSE2	TURN	FREE_TURN	LASTRADEDAY_S	LAST_TRADE_DAY	REL_IPO_CHG	REL_IPO_PCT_CHG	TRADE_STATUS	SUSP_DAYS	SUSP_REASON	MAXUPORDOWN	OPEN3	HIGH3	LOW3	CLOSE3
2015-03-02	13.99	14.03	14.09	13.87	14.03	101879700.0	1423603269.2	44197.0	0.03999999999999915	0.2859185039997101	1.5725518227305262	13.973375159133763	71.053697	14.03	1.035708867418673	2.0535756982280735	2015-03-02 00:00:00.005000	2015-03-02 00:00:00.005000	-25.97	2392.208422275	交易	0		0	14.03	14.09	13.87	14.03
2015-03-03	14.03	13.98	13.98	13.59	13.6	105947629.0	1457305035.3999999	56118.0	-0.4299999999999997	-3.0648610591888428	2.779757662152534	13.754956568211638	71.053697	13.6	1.0770634271330182	2.135572407450001	2015-03-03 00:00:00.005000	2015-03-03 00:00:00.005000	-26.4	2315.8256979999996	交易	0		0	13.98	13.98	13.59	13.6
2015-03-04	13.6	13.62	13.72	13.5	13.57	81497304.0	1108145418.6	38655.0	-0.02999999999999936	-0.22058823704719543	1.617647058823534	13.597326098051045	71.053697	13.57	0.8285014622492537	1.642730425840531	2015-03-04 00:00:00.005000	2015-03-04 00:00:00.005000	-26.43	2310.496670725	交易	0		0	13.62	13.72	13.5	13.57
2015-03-05	13.57	13.5	13.53	13.29	13.38	82860485.0	1109151960.1000001	47331.0	-0.1899999999999995	-1.4001474380493164	1.768607221812824	13.385776828363968	71.053697	13.38	0.8423595581171907	1.6702078857651896	2015-03-05 00:00:00.005000	2015-03-05 00:00:00.005000	-26.619999999999997	2276.74616465	交易	0		0	13.5	13.53	13.29	13.38
2015-03-06	13.38	13.37	13.51	13.35	13.44	55704774.0	748959127.6999999	27683.0	0.05999999999999872	0.44843047857284546	1.1958146487294479	13.445151535845023	71.053697	13.44	0.5662946434800372	1.1228337947764573	2015-03-06 00:00:00.005000	2015-03-06 00:00:00.005000	-26.560000000000002	2287.4042191999997	交易	0		0	13.37	13.51	13.35	13.44
2015-03-09	13.44	13.47	14.34	13.32	14.15	220532361.0	3067985540.6	97151.0	0.7100000000000009	5.282738208770752	7.589285714285711	13.911724912789555	71.053697	14.15	2.241931629563848	4.445241762809083	2015-03-09 00:00:00.005000	2015-03-09 00:00:00.005000	-25.85	2413.5245313749997	交易	0		0	13.47	14.34	13.32	14.15
2015-03-10	14.15	14.0	14.12	13.77	13.77	138570630.0	1927581938.5	58427.0	-0.3800000000000008	-2.6855123043060303	2.4734982332155453	13.910465287629853	71.053697	13.77	1.4087088031746462	2.7931499430814384	2015-03-10 00:00:00.005000	2015-03-10 00:00:00.005000	-26.23	2346.023519225	交易	0		0	14.0	14.12	13.77	13.77
2015-03-11	13.77	13.79	14.08	13.79	13.86	90335413.0	1258356122.2	40758.0	0.08999999999999986	0.6535947918891907	2.1060275962236816	13.929820879880186	71.053697	13.86	0.9183496642219017	1.820879025224813	2015-03-11 00:00:00.005000	2015-03-11 00:00:00.005000	-26.14	2362.01060105	交易	0		0	13.79	14.08	13.79	13.86
2015-03-12	13.86	14.2	14.96	14.08	14.6	330513720.0	4805590363.2	133212.0	0.7400000000000002	5.339105129241943	6.349206349206354	14.539760598137953	71.053697	14.6	3.3600019494318536	6.662121534741051	2015-03-12 00:00:00.005000	2015-03-12 00:00:00.005000	-25.4	2493.4599405	交易	0		0	14.2	14.96	14.08	14.6
2015-03-13	14.6	14.9	15.61	14.8	14.99	316398835.0	4799935194.5	138101.0	0.39000000000000057	2.6712329387664795	5.547945205479444	15.170521075085501	71.053697	14.99	3.216510051074332	6.377609656326766	2015-03-13 00:00:00.005000	2015-03-13 00:00:00.005000	-25.009999999999998	2562.7372950749996	交易	0		0	14.9	15.61	14.8	14.99
